scenario,law,section_number,section_title,section_text,punishment,tags,intent_label
UPI payment fraud happened through Facebook,IT Act 2000,66D,Cheating by personation using computer resources,Online impersonation to cheat.,3 years jail + fine,cyber_fraud,CYBER_FRAUD
Someone is stalking me online using LinkedIn,IT Act 2000,66E,Violation of privacy,Capturing or transmitting private images.,3 years jail + fine,cyber_harassment,CYBER_HARASSMENT
I received a phishing link pretending to be Instagram,CERT-IN,Log-1,180-day log retention,Organizations must keep secure logs.,,general_cyber_query,GENERAL_CYBER_QUERY
Someone hacked my WhatsApp account and changed my password,DPDP Act 2023,8,Data fiduciary obligations,"Ensure security, prevent breaches.",Financial penalties,cyber_hacking,CYBER_HACKING
A loan app leaked my contact list and threatened me,IPC,499,Defamation,Online defamatory posts.,2 years jail,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone hacked my LinkedIn account and changed my password,IPC,499,Defamation,Online defamatory posts.,2 years jail,cyber_hacking,CYBER_HACKING
Someone hacked my PhonePe account and changed my password,IT Act 2000,66C,Identity theft,Using another person's digital signatures or passwords.,3 years jail + fine ₹1 lakh,cyber_hacking,CYBER_HACKING
Someone hacked my LinkedIn account and changed my password,IT Act 2000,43,Penalty for damage to computer resources,Unauthorized access or damage to computer systems.,Up to ₹1 crore compensation,cyber_hacking,CYBER_HACKING
A scammer impersonated a Instagram officer and took my details,IT Rules 2021,Rule 4,Significant social media rules,Grievance officer and takedown timelines.,,cyber_fraud,CYBER_FRAUD
A scammer impersonated a Google Pay officer and took my details,IPC,354D,Cyber stalking,Repeated online contact causing fear.,3 years jail,cyber_fraud,CYBER_FRAUD
A fake profile was created using my photos on Google Pay,IPC,499,Defamation,Online defamatory posts.,2 years jail,cyber_fraud,CYBER_FRAUD
Someone posted obscene content using my Facebook account,IT Act 2000,43,Penalty for damage to computer resources,Unauthorized access or damage to computer systems.,Up to ₹1 crore compensation,general_cyber_query,GENERAL_CYBER_QUERY
UPI payment fraud happened through Instagram,IPC,354A,Sexual harassment,Online sexual harassment.,3 years jail,cyber_fraud,CYBER_FRAUD
A scammer impersonated a WhatsApp officer and took my details,IT Act 2000,66D,Cheating by personation using computer resources,Online impersonation to cheat.,3 years jail + fine,cyber_fraud,CYBER_FRAUD
A loan app leaked my contact list and threatened me,IT Act 2000,66,Computer-related offences,Dishonest or fraudulent use of computer resources.,3 years jail + fine,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone is stalking me online using Google Pay,IT Rules 2021,Rule 4,Significant social media rules,Grievance officer and takedown timelines.,,cyber_fraud,CYBER_FRAUD
Someone is stalking me online using Snapchat,IT Act 2000,67B,Child sexual content,Publishing child sexual content.,7 years jail + fine,cyber_harassment,CYBER_HARASSMENT
I received a phishing link pretending to be Facebook,DPDP Act 2023,4,Consent for data processing,Data must be processed only with free consent.,Penalties up to ₹250 crore,general_cyber_query,GENERAL_CYBER_QUERY
Someone posted obscene content using my YouTube account,IT Act 2000,66F,Cyber terrorism,Threatening national security using computer resources.,Life imprisonment,general_cyber_query,GENERAL_CYBER_QUERY
A scammer impersonated a YouTube officer and took my details,IPC,468,Forgery for cheating,Digital forgery for cheating.,7 years jail,cyber_fraud,CYBER_FRAUD
A scammer impersonated a Twitter officer and took my details,IPC,471,Using forged digital documents,Using forged digital IDs.,7 years jail,cyber_fraud,CYBER_FRAUD
My private pictures were leaked on PhonePe,IPC,468,Forgery for cheating,Digital forgery for cheating.,7 years jail,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
My private pictures were leaked on Snapchat,IT Act 2000,66,Computer-related offences,Dishonest or fraudulent use of computer resources.,3 years jail + fine,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
My private pictures were leaked on WhatsApp,CERT-IN,Log-1,180-day log retention,Organizations must keep secure logs.,,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
Someone posted obscene content using my Telegram account,IT Act 2000,66E,Violation of privacy,Capturing or transmitting private images.,3 years jail + fine,general_cyber_query,GENERAL_CYBER_QUERY
A fake profile was created using my photos on PhonePe,IT Act 2000,66C,Identity theft,Using another person's digital signatures or passwords.,3 years jail + fine ₹1 lakh,cyber_identity_theft,CYBER_IDENTITY_THEFT
A loan app leaked my contact list and threatened me,IT Act 2000,67B,Child sexual content,Publishing child sexual content.,7 years jail + fine,cyber_privacy_violation,CYBER_PRIVACY_VIOLATION
A fake profile was created using my photos on PhonePe,IT Act 2000,43,Penalty for damage to computer resources,Unauthorized access or damage to computer systems.,Up to ₹1 crore compensation,cyber_identity_theft,CYBER_IDENTITY_THEFT
Someone hacked my LinkedIn account and changed my password,IPC,509,Insulting modesty of a woman,Online obscene messages.,3 years jail,cyber_hacking,CYBER_HACKING
UPI payment fraud happened through Twitter,IT Act 2000,67,Obscene material online,Publishing or transmitting obscene content.,3 years jail + fine ₹5 lakh,cyber_fraud,CYBER_FRAUD
I received a phishing link pretending to be Instagram,IT Act 2000,67B,Child sexual content,Publishing child sexual content.,7 years jail + fine,general_cyber_query,GENERAL_CYBER_QUERY
